State,Year,ConsumptionType,ConsumptionValue
District of Columbia,2008,Consumption.Commercial.Geothermal,0
District of Columbia,2009,Consumption.Commercial.Geothermal,0
District of Columbia,2010,Consumption.Commercial.Geothermal,0
District of Columbia,2011,Consumption.Commercial.Geothermal,0
District of Columbia,2012,Consumption.Commercial.Geothermal,0
District of Columbia,2013,Consumption.Commercial.Geothermal,0
District of Columbia,2014,Consumption.Commercial.Geothermal,0
District of Columbia,2015,Consumption.Commercial.Geothermal,0
District of Columbia,2016,Consumption.Commercial.Geothermal,0
District of Columbia,2017,Consumption.Commercial.Geothermal,0
District of Columbia,2018,Consumption.Commercial.Geothermal,0
District of Columbia,2019,Consumption.Commercial.Geothermal,0
Delaware,1960,Consumption.Commercial.Geothermal,0
Delaware,1961,Consumption.Commercial.Geothermal,0
Delaware,1962,Consumption.Commercial.Geothermal,0
Delaware,1963,Consumption.Commercial.Geothermal,0
Delaware,1964,Consumption.Commercial.Geothermal,0
Delaware,1965,Consumption.Commercial.Geothermal,0
Delaware,1966,Consumption.Commercial.Geothermal,0
Delaware,1967,Consumption.Commercial.Geothermal,0
Delaware,1968,Consumption.Commercial.Geothermal,0
Delaware,1969,Consumption.Commercial.Geothermal,0
Delaware,1970,Consumption.Commercial.Geothermal,0
Delaware,1971,Consumption.Commercial.Geothermal,0
Delaware,1972,Consumption.Commercial.Geothermal,0
Delaware,1973,Consumption.Commercial.Geothermal,0
Delaware,1974,Consumption.Commercial.Geothermal,0
Delaware,1975,Consumption.Commercial.Geothermal,0
Delaware,1976,Consumption.Commercial.Geothermal,0
Delaware,1977,Consumption.Commercial.Geothermal,0
Delaware,1978,Consumption.Commercial.Geothermal,0
Delaware,1979,Consumption.Commercial.Geothermal,0
Delaware,1980,Consumption.Commercial.Geothermal,0
Delaware,1981,Consumption.Commercial.Geothermal,0
Delaware,1982,Consumption.Commercial.Geothermal,0
Delaware,1983,Consumption.Commercial.Geothermal,0
Delaware,1984,Consumption.Commercial.Geothermal,0
Delaware,1985,Consumption.Commercial.Geothermal,0
Delaware,1986,Consumption.Commercial.Geothermal,0
Delaware,1987,Consumption.Commercial.Geothermal,0
Delaware,1988,Consumption.Commercial.Geothermal,0
Delaware,1989,Consumption.Commercial.Geothermal,0
Delaware,1990,Consumption.Commercial.Geothermal,0
Delaware,1991,Consumption.Commercial.Geothermal,0
Delaware,1992,Consumption.Commercial.Geothermal,0
Delaware,1993,Consumption.Commercial.Geothermal,0
Delaware,1994,Consumption.Commercial.Geothermal,0
Delaware,1995,Consumption.Commercial.Geothermal,0
Delaware,1996,Consumption.Commercial.Geothermal,0
Delaware,1997,Consumption.Commercial.Geothermal,0
Delaware,1998,Consumption.Commercial.Geothermal,0
Delaware,1999,Consumption.Commercial.Geothermal,0
Delaware,2000,Consumption.Commercial.Geothermal,0
Delaware,2001,Consumption.Commercial.Geothermal,0
Delaware,2002,Consumption.Commercial.Geothermal,0
Delaware,2003,Consumption.Commercial.Geothermal,0
Delaware,2004,Consumption.Commercial.Geothermal,0
Delaware,2005,Consumption.Commercial.Geothermal,0
Delaware,2006,Consumption.Commercial.Geothermal,0
Delaware,2007,Consumption.Commercial.Geothermal,0
Delaware,2008,Consumption.Commercial.Geothermal,0
